elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
360,360200,360200,0,0,360955,755,631,0,0,12183,18096,22443,10.8,0,0,2,0,0
370,370200,370200,0,0,370955,755,631,0,0,12138,16229,19448,10.8,0,0,2,0,0
380,380250,380200,0,0,380955,755,631,0,0,12481,19337,23326,10.8,0,0,2,0,0
390,390250,390200,0,0,390955,755,631,0,0,12286,17521,32260,10.8,0,0,2,0,0
400,400250,400200,0,0,400955,755,631,0,0,12207,17796,21777,10.8,0,0,2,0,0
410,410250,410250,0,0,411005,755,631,0,0,12095,16882,20738,10.8,0,0,2,0,0
420,420250,420250,0,0,421005,755,631,0,0,12172,16406,18977,10.8,0,0,2,0,0
430,430250,430250,0,0,431005,755,631,0,0,12629,17228,20406,10.8,0,0,2,0,0
440,440250,440250,0,0,441005,755,631,0,0,11789,16909,17699,10.8,0,0,2,0,0
450,450300,450250,0,0,451005,755,631,0,0,12450,19061,20782,10.8,0,0,2,0,0
